PromptId,Order,Role,Agent,Phase,Slice,Title,File,RequiresEvidence,RequiresJudge,GateLevel,DependsOn,ExpectedEvidence,ExpectedJudge,RequiredInputs,RequiredOutputs,Status,Note,UpdatedAt,Attempt
M6-P0000,0,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,SESSION_SAFETY_LOCK,00-spec/prompts/0000_M6-P0000_SESSION_SAFETY_LOCK.xml.md,true,false,EVIDENCE_GATE,,04-artifacts/evidence/prompts/M6-P0000.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0000.json,TODO,,2026-09-07T22:39:39,0
M6-P0001,1,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,PACK_INTEGRITY_CHECK,00-spec/prompts/0001_M6-P0001_PACK_INTEGRITY_CHECK.xml.md,true,false,EVIDENCE_GATE,M6-P0000,04-artifacts/evidence/prompts/M6-P0001.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0001.json,TODO,,2026-09-07T22:39:39,0
M6-P0002,2,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,ROOT_DISCOVERY,00-spec/prompts/0002_M6-P0002_ROOT_DISCOVERY.xml.md,true,false,EVIDENCE_GATE,M6-P0001,04-artifacts/evidence/prompts/M6-P0002.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0002.json,TODO,,2026-09-07T22:39:39,0
M6-P0003,3,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,NO_CODE_BASELINE,00-spec/prompts/0003_M6-P0003_NO_CODE_BASELINE.xml.md,true,false,EVIDENCE_GATE,M6-P0002,04-artifacts/evidence/prompts/M6-P0003.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0003.json,TODO,,2026-09-07T22:39:39,0
M6-P0004,4,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,ROLE_REGISTRY_LOAD,00-spec/prompts/0004_M6-P0004_ROLE_REGISTRY_LOAD.xml.md,true,false,EVIDENCE_GATE,M6-P0003,04-artifacts/evidence/prompts/M6-P0004.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0004.json,TODO,,2026-09-07T22:39:39,0
M6-P0005,5,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,RUNNER_STATE_INIT_VERIFY,00-spec/prompts/0005_M6-P0005_RUNNER_STATE_INIT_VERIFY.xml.md,true,false,EVIDENCE_GATE,M6-P0004,04-artifacts/evidence/prompts/M6-P0005.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0005.json,TODO,,2026-09-07T22:39:39,0
M6-P0006,6,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,EVIDENCE_DIRS_CHECK,00-spec/prompts/0006_M6-P0006_EVIDENCE_DIRS_CHECK.xml.md,true,false,EVIDENCE_GATE,M6-P0005,04-artifacts/evidence/prompts/M6-P0006.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0006.json,TODO,,2026-09-07T22:39:39,0
M6-P0007,7,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,SECRET_SCAN_BASELINE,00-spec/prompts/0007_M6-P0007_SECRET_SCAN_BASELINE.xml.md,true,false,EVIDENCE_GATE,M6-P0006,04-artifacts/evidence/prompts/M6-P0007.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0007.json,TODO,,2026-09-07T22:39:39,0
M6-P0008,8,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,SOURCE_INVENTORY,00-spec/prompts/0008_M6-P0008_SOURCE_INVENTORY.xml.md,true,false,EVIDENCE_GATE,M6-P0007,04-artifacts/evidence/prompts/M6-P0008.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0008.json,TODO,,2026-09-07T22:39:39,0
M6-P0009,9,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,REGISTER_INIT_REVIEW,00-spec/prompts/0009_M6-P0009_REGISTER_INIT_REVIEW.xml.md,true,false,EVIDENCE_GATE,M6-P0008,04-artifacts/evidence/prompts/M6-P0009.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0009.json,TODO,,2026-09-07T22:39:39,0
